Ensemble	Symbol	Chr	Start	End	Type	Length8FeatureCount
ENSG00000250958	LINC00492	chr5	102581368	102617589	lncRNA	593
ENSG00000142892	PIGK	chr1	77088989	77219430	protein_coding	5514
ENSG00000275052	PPP4R3B	chr2	55547292	55618880	protein_coding	8217
ENSG00000203601	LINC00970	chr1	168903905	169087005	lncRNA	1129
ENSG00000278532	RP11-17E3.1	chr18	69398726	69399249	lncRNA	524
ENSG00000211657	IGLV3-32	chr22	22594528	22595056	IG_V_gene	383
ENSG00000287520	RP11-97F8.4	chr4	116720123	116739945	lncRNA	4242
ENSG00000255870	RP11-667M19.5	chr11	113789242	113790027	processed_pseudogene	786
ENSG00000099251	HSD17B7P2	chr10	38356380	38378505	transcribed_unprocessed_pseudogene	1506
ENSG00000233387	IATPR	chr10	33096257	33116672	lncRNA	552
ENSG00000224919	RP11-144G6.4	chr10	47496212	47502195	lncRNA	234
ENSG00000090661	CERS4	chr19	8206736	8262421	protein_coding	4059
ENSG00000236365	EIF3MP1	chrX	82875649	82875885	processed_pseudogene	237
ENSG00000186508	OR9I2P	chr11	58144495	58145397	unprocessed_pseudogene	903
ENSG00000235538	RP1-230L10.1	chr6	163671577	163798849	lncRNA	4685
ENSG00000240882	RP11-174O3.1	chr3	120306726	120307952	processed_pseudogene	1227
ENSG00000230755	MTATP6P23	chr10	69589880	69590355	processed_pseudogene	476
ENSG00000227905	MED6P1	chr10	88048135	88049823	processed_pseudogene	713
ENSG00000274685	RP11-122K13.15	chr10	133374736	133374869	lncRNA	134
ENSG00000224976	PARP4P2	chr13	19349137	19407962	unprocessed_pseudogene	3326
ENSG00000253907	RP11-380I10.3	chr8	28238430	28238905	processed_pseudogene	476
ENSG00000205572	SERF1B	chr5	70025247	70043113	protein_coding	3051
ENSG00000165496	RPL10L	chr14	46651010	46651781	protein_coding	772
ENSG00000276727	RP11-123K3.9	chr12	57229498	57230198	lncRNA	701
ENSG00000204822	MRPL53	chr2	74471982	74472687	protein_coding	685
ENSG00000204655	MOG	chr6	29657002	29672372	protein_coding	3175
ENSG00000205126	ACCSL	chr11	44047981	44059977	protein_coding	1867
ENSG00000175544	CABP4	chr11	67452406	67461752	protein_coding	5218
ENSG00000264974	MIR4789	chr3	175369540	175369621	miRNA	82
ENSG00000113924	HGD	chr3	120628172	120682269	protein_coding	2682
ENSG00000239718	HLTF-AS1	chr3	149086332	149102823	lncRNA	415
ENSG00000231920	NEBL-AS1	chr10	21174014	21175048	lncRNA	681
ENSG00000287650	RP11-98D3.2	chr13	35494178	35496615	lncRNA	2345
ENSG00000272248	RP3-406P24.4	chr6	4018713	4019202	lncRNA	490
ENSG00000258866	RP11-991C1.2	chr14	95047353	95050957	lncRNA	1190
ENSG00000238391	RNA5SP233	chr7	74487428	74487540	rRNA_pseudogene	113
ENSG00000250356	HSPE1P23	chr4	74917822	74918138	processed_pseudogene	286
ENSG00000185219	ZNF445	chr3	44431705	44477670	protein_coding	18886
ENSG00000253065	ENSG10010134429.1	chr5	168033091	168033205	snoRNA	115
ENSG00000274798	CTD-2129N1.1	chr15	40874433	40874595	lncRNA	163
ENSG00000154529	CNTNAP3B	chr9	41890314	42129510	protein_coding	13220
ENSG00000255149	RP11-97I14.1	chr11	110876994	110877177	processed_pseudogene	184
ENSG00000205361	MT1DP	chr16	56643705	56644786	transcribed_unprocessed_pseudogene	191
ENSG00000259248	USP3-AS1	chr15	63544247	63601589	lncRNA	8827
ENSG00000258233	ARHGAP42P5	chr14	18623852	18626787	processed_pseudogene	2936
ENSG00000287359	RP3-486B10.3	chr6	17092714	17108156	lncRNA	1209
ENSG00000226312	CFLAR-AS1	chr2	201140278	201157823	lncRNA	4334
ENSG00000259989	CTD-2555A7.1	chr16	88984032	88995369	lncRNA	472
ENSG00000284286	MIR718	chrX	154019920	154019989	miRNA	70
ENSG00000259521	INO80-AS1	chr15	41016807	41027893	lncRNA	712
ENSG00000283131	MTND2P41	chr4	68049706	68050478	unprocessed_pseudogene	773
ENSG00000130303	BST2	chr19	17402939	17405630	protein_coding	1101
ENSG00000227038	GTF2IP7	chr7	76090431	76108779	transcribed_unprocessed_pseudogene	2574
ENSG00000198715	GLMP	chr1	156290089	156295689	protein_coding	3471
ENSG00000251044	CTD-2582M21.1	chr5	68374765	68375292	lncRNA	371
ENSG00000251185	RP11-542G1.1	chr4	75269068	75361182	lncRNA	469
ENSG00000213159	CEND1P1	chr14	104450979	104451433	processed_pseudogene	455
ENSG00000173171	MTX1	chr1	155208695	155213824	protein_coding	3282
ENSG00000105127	AKAP8	chr19	15353385	15379815	protein_coding	6299
ENSG00000196976	LAGE3	chrX	154477769	154479257	protein_coding	949
ENSG00000254216	RP11-140I16.2	chr8	56252960	56253372	processed_pseudogene	376
ENSG00000269475	CH17-38B12.4	chrX	152682810	152683842	unprocessed_pseudogene	955
ENSG00000237722	MTND1P29	chr2	130270440	130272272	unprocessed_pseudogene	647
ENSG00000253946	CTC-425K20.1	chr5	165905126	165905608	processed_pseudogene	483
ENSG00000265666	RARA-AS1	chr17	40340867	40343136	lncRNA	1790
ENSG00000258292	LINC02410	chr12	95803097	95823307	lncRNA	393
ENSG00000253391	RP11-758H6.1	chr8	79520145	79520649	processed_pseudogene	505
ENSG00000122386	ZNF205	chr16	3112560	3120517	protein_coding	2330
ENSG00000267507	CTD-2587H24.1	chr19	55119250	55120383	processed_pseudogene	488
ENSG00000269867	CTD-2583A14.8	chr19	57867038	57868172	lncRNA	679
ENSG00000159110	IFNAR2	chr21	33205282	33265675	protein_coding	4917
ENSG00000231367	LINC02613	chr2	38406527	38515934	lncRNA	5386
ENSG00000207805	MIR483	chr11	2134134	2134209	miRNA	76
ENSG00000234390	USP27X-DT	chrX	49876724	49879241	lncRNA	2175
ENSG00000180383	DEFB124	chr20	31465471	31476757	protein_coding	1265
ENSG00000252243	RNU6-412P	chr4	46531237	46531342	snRNA	106
ENSG00000221059	RNU6ATAC6P	chr3	87910220	87910345	snRNA	126
ENSG00000103148	NPRL3	chr16	84271	138677	protein_coding	6426
ENSG00000277108	SNORD49B	chr17	16439505	16439576	snoRNA	72
ENSG00000266721	MIR5695	chr19	12920320	12920404	miRNA	85
ENSG00000181481	RNF135	chr17	30970984	30999911	protein_coding	2246
ENSG00000286916	ABBA01045074.1	chr9	43244631	43244987	processed_pseudogene	357
ENSG00000049541	RFC2	chr7	74231499	74254458	protein_coding	2211
ENSG00000225636	HNRNPA3P15	chr2	197014990	197016015	processed_pseudogene	1026
ENSG00000224128	LINC01248	chr2	5602505	5691488	lncRNA	468
ENSG00000230649	AC024084.1	chr7	136025717	136084668	lncRNA	1478
ENSG00000214262	ANKRD36BP1	chr1	168245565	168247343	transcribed_processed_pseudogene	1779
ENSG00000253625	IGKV2-23	chr2	89172022	89172553	IG_V_pseudogene	323
ENSG00000268736	MTCO3P39	chr4	49246021	49246538	processed_pseudogene	518
ENSG00000231840	TMEM139-AS1	chr7	143255264	143287997	lncRNA	2018
ENSG00000219807	ARF1P1	chr7	94833904	94834447	processed_pseudogene	544
ENSG00000234791	AC108448.3	chr11	3189546	3189929	lncRNA	293
ENSG00000184838	PRR16	chr5	120464300	120687332	protein_coding	2252
ENSG00000219682	RP3-425P12.4	chr6	25140003	25141403	processed_pseudogene	1401
ENSG00000133302	SLF1	chr5	94618669	94739436	protein_coding	6863
ENSG00000100055	CYTH4	chr22	37282027	37315341	protein_coding	6099
ENSG00000135185	TMEM243	chr7	87196160	87220587	protein_coding	3270
ENSG00000255104	AC005324.8	chr17	15699692	15744778	protein_coding	4387
ENSG00000267078	RP11-666A8.9	chr17	76569792	76571240	lncRNA	1449
ENSG00000251747	RNU7-60P	chr12	11546479	11546540	snRNA	62
ENSG00000252772	RNU6-714P	chr9	92820977	92821079	snRNA	103
ENSG00000272727	LINC02266	chr4	145335263	145343559	lncRNA	1724
ENSG00000206857	RNU6-214P	chr6	120526294	120526400	snRNA	107
ENSG00000164935	DCSTAMP	chr8	104339087	104356689	protein_coding	2778
ENSG00000283684	AC013271.5	chr2	109937438	109985124	lncRNA	1959
ENSG00000227418	PCGEM1	chr2	192749845	192776899	lncRNA	1712
ENSG00000250191	RP11-285A15.1	chr4	133574566	133575208	unprocessed_pseudogene	286
ENSG00000284042	TAF11L6	chr5	17528669	17529265	protein_coding	597
ENSG00000172687	ZNF738	chr19	21358930	21388582	protein_coding	9622
ENSG00000280078	RP11-361H10.5	chr14	76279173	76283103	TEC	3931
ENSG00000166016	ABTB2	chr11	34150987	34358010	protein_coding	4976
ENSG00000241032	RN7SL709P	chr8	37908738	37909037	misc_RNA	300
ENSG00000243232	PCDHAC2	chr5	140966470	141012347	protein_coding	6162
ENSG00000123892	RAB38	chr11	88113251	88175443	protein_coding	1432
ENSG00000240927	RN7SL209P	chr15	101773238	101773513	misc_RNA	276
ENSG00000266470	RP11-856M7.8	chr18	10632238	10632396	unprocessed_pseudogene	159
ENSG00000221116	SNORD110	chr20	2654212	2654286	snoRNA	75
ENSG00000277591	RN7SL575P	chr2	95003545	95003843	misc_RNA	299
ENSG00000253629	KB-1107E3.1	chr8	101686547	101689093	lncRNA	361
ENSG00000133195	SLC39A11	chr17	72645949	73092712	protein_coding	5583
ENSG00000279594	RP11-950C14.10	chr14	75011269	75012851	TEC	1583
ENSG00000269332	GOLGA2P9	chr19	22596257	22603550	transcribed_unprocessed_pseudogene	2648
ENSG00000112280	COL9A1	chr6	70216040	70303084	protein_coding	10329
ENSG00000177257	DEFB4B	chr8	7414855	7416863	protein_coding	337
ENSG00000255410	RP11-732A19.6	chr11	6630504	6658396	lncRNA	2076
ENSG00000248837	RP11-412P11.1	chr4	22989147	23193740	lncRNA	7714
ENSG00000201622	RNU6-621P	chr3	197994601	197994709	snRNA	109
ENSG00000262248	RP11-235E17.5	chr17	3619256	3619913	processed_pseudogene	344
ENSG00000250538	RP11-92A5.2	chr4	155206529	155209027	lncRNA	1681
ENSG00000264056	MIR5685	chr6	53276993	53277071	miRNA	79
ENSG00000101310	SEC23B	chr20	18507520	18561415	protein_coding	4347
ENSG00000249230	CDH12P2	chr5	69985204	69985501	unprocessed_pseudogene	298
ENSG00000099377	HSD3B7	chr16	30985207	30989147	protein_coding	2490
ENSG00000227666	CYCSP24	chr9	94038030	94038345	processed_pseudogene	316
ENSG00000212536	RNA5SP474	chr20	5098387	5098476	rRNA_pseudogene	90
ENSG00000182307	C8orf33	chr8	145052465	145066685	protein_coding	4353
ENSG00000264958	ALOX12P1	chr17	30529688	30542416	unprocessed_pseudogene	1229
ENSG00000203859	HSD3B2	chr1	119414931	119423035	protein_coding	2277
ENSG00000275038	RP11-546B8.6	chr5	171305980	171309777	lncRNA	3056
ENSG00000183454	GRIN2A	chr16	9753404	10182928	protein_coding	18663
ENSG00000286651	PRSS43P	chr3	46753045	46756857	transcribed_unitary_pseudogene	1670
ENSG00000256377	RP11-1060J15.4	chr12	27696388	27710803	lncRNA	1555
ENSG00000286370	RP11-264N11.1	chr2	117536387	117539464	lncRNA	1036
ENSG00000141068	KSR1	chr17	27456470	27626438	protein_coding	12178
ENSG00000272477	RP11-158G18.1	chr3	18408680	18409635	lncRNA	956
ENSG00000271175	RP11-434J24.3	chrX	147812733	147812974	processed_pseudogene	242
ENSG00000233928	RP11-305F18.1	chrX	33726337	34346527	lncRNA	14438
ENSG00000158161	EYA3	chr1	27970344	28088637	protein_coding	6424
ENSG00000224893	LINC02840	chr6	152754903	152875991	lncRNA	9564
ENSG00000278766	AC159540.2	chr2	97421075	97434847	lncRNA	1295
ENSG00000181741	FDX1P1	chr20	34475924	34476474	processed_pseudogene	551
ENSG00000262313	CTD-2561B21.4	chr17	80940418	80942033	lncRNA	494
ENSG00000169740	ZNF32	chr10	43643860	43648881	protein_coding	1460
ENSG00000175691	ZNF77	chr19	2933218	2944971	protein_coding	2437
ENSG00000286756	CMB9-22P13.4	chr11	65487884	65488896	lncRNA	585
ENSG00000224714	LINC02671	chr10	64901136	65017639	lncRNA	2786
ENSG00000270394	MTRNR2L13	chr4	116298876	116300320	protein_coding	1445
ENSG00000251381	LINC00958	chr11	12961541	12989597	lncRNA	5770
ENSG00000134108	ARL8B	chr3	5122249	5180911	protein_coding	3546
ENSG00000273355	RP11-672L10.6	chr18	813274	813756	lncRNA	483
ENSG00000276064	RP11-274E6.1	chr6	77343557	77343654	processed_pseudogene	98
ENSG00000285838	RP11-542F9.2	chr6	68040290	68093001	lncRNA	2872
ENSG00000259121	RP11-545M17.2	chr14	39090901	39091101	processed_pseudogene	201
ENSG00000214245	PUDPP3	chr20	33047517	33048152	processed_pseudogene	636
ENSG00000200407	RNU6-1169P	chr15	41448742	41448844	snRNA	103
ENSG00000232359	AC104777.1	chr2	150595102	150620067	lncRNA	568
ENSG00000120992	LYPLA1	chr8	54046367	54102017	protein_coding	4694
ENSG00000232800	SLC7A15P	chr2	20386386	20396588	unitary_pseudogene	1363
ENSG00000254288	RP11-6I2.3	chr8	74052340	74099853	lncRNA	738
ENSG00000278894	RP11-786A20.1	chr7	113451072	113451402	TEC	331
ENSG00000261019	RP11-111K18.2	chr7	42901272	42902639	lncRNA	1368
ENSG00000260131	LINC00556	chr13	20181531	20181942	lncRNA	412
ENSG00000205702	CYP2D7	chr22	42140203	42149455	polymorphic_pseudogene	3843
ENSG00000232299	RP1-105O18.1	chr6	112476538	112481636	lncRNA	488
ENSG00000280216	RP3-333H23.9	chr22	39379610	39380015	TEC	406
ENSG00000261590	RP11-457D20.1	chr16	60357214	60357474	processed_pseudogene	261
ENSG00000069011	PITX1	chr5	135027734	135034813	protein_coding	3442
ENSG00000224589	ORC1P1	chrX	27893348	27894059	processed_pseudogene	712
ENSG00000279755	RP11-191F9.2	chr5	10064243	10064476	TEC	234
ENSG00000272163	GS1-72M22.1	chr8	24912165	24914717	lncRNA	2553
ENSG00000200665	RNU6-1188P	chr12	116082570	116082676	snRNA	107
ENSG00000235802	HCFC1-AS1	chrX	153969325	153970087	lncRNA	350
ENSG00000230137	RP4-539M6.18	chr22	30439837	30440318	processed_pseudogene	482
ENSG00000233058	LINC00884	chr3	194487140	194521156	lncRNA	9424
ENSG00000184084	CTD-2372A4.1	chr5	73803296	73803599	processed_pseudogene	304
ENSG00000225669	RPL23AP27	chr2	104678223	104678673	processed_pseudogene	451
ENSG00000135900	MRPL44	chr2	223957463	223967714	protein_coding	1689
ENSG00000238103	RPL9P7	chrX	23836742	23837321	processed_pseudogene	580
ENSG00000205544	TMEM256	chr17	7402975	7404097	protein_coding	667
ENSG00000232450	RP4-730K3.3	chr1	113698884	113699631	transcribed_processed_pseudogene	748
ENSG00000272416	CTD-2081C10.7	chr5	53880293	53881051	lncRNA	759
ENSG00000234324	RPL9P2	chr17	15443639	15444191	processed_pseudogene	553
ENSG00000235065	RPL24P2	chr20	21114723	21115197	processed_pseudogene	475
ENSG00000265097	RBM22P1	chr18	27418884	27420435	processed_pseudogene	1214
ENSG00000237037	NDUFA6-DT	chr22	42090931	42137742	lncRNA	5206
ENSG00000255372	CTD-3064C13.1	chr11	22261209	22262256	lncRNA	516
ENSG00000262158	MTCO3P24	chr16	10723836	10724617	unprocessed_pseudogene	782
ENSG00000272825	LL21NC02-1C16.2	chr21	44936303	44936954	lncRNA	652
ENSG00000256732	RP11-407A16.3	chr12	126610034	126690318	lncRNA	1192
ENSG00000178814	OPLAH	chr8	144051266	144063965	protein_coding	4441
ENSG00000229638	RPL4P4	chr3	185417495	185418778	processed_pseudogene	1284
ENSG00000238959	RNU7-19P	chr3	73027808	73027873	snRNA	66
ENSG00000138036	DYNC2LI1	chr2	43774039	43810010	protein_coding	4618
ENSG00000285042	RP11-549K20.2	chr5	25188059	25188778	lncRNA	720
ENSG00000264061	FGF7P1	chr18	14888709	14890086	unprocessed_pseudogene	288
ENSG00000176438	SYNE3	chr14	95407266	95516650	protein_coding	18219
ENSG00000237955	AC008746.10	chr19	54379489	54379960	processed_pseudogene	472
ENSG00000180957	PITPNB	chr22	27851669	27920134	protein_coding	5129
ENSG00000275207	MIR6740	chr1	202003124	202003236	miRNA	113
ENSG00000253340	RP11-139G7.1	chr8	50859530	50860062	processed_pseudogene	533
ENSG00000264274	MIR4799	chr4	147782595	147782668	miRNA	74
ENSG00000233601	NCOR1P3	chr7	57599794	57610104	unprocessed_pseudogene	303
ENSG00000076321	KLHL20	chr1	173714941	173786692	protein_coding	4244
ENSG00000234859	AC003958.2	chr17	41402416	41425049	lncRNA	4067
ENSG00000273542	H4C12	chr6	27831174	27831560	protein_coding	387
ENSG00000283167	RP11-1223D19.6	chr2	110321402	110348941	unprocessed_pseudogene	3972
ENSG00000282097	RP4-781K5.7	chr1	234709383	234720220	lncRNA	1257
ENSG00000288520	RP3-402L9.3	chr6	154159828	154510114	protein_coding	2700
ENSG00000202347	RNU1-16P	chr13	113478915	113479078	snRNA	164
ENSG00000100324	TAB1	chr22	39399778	39437060	protein_coding	4419
ENSG00000286873	RP11-395A13.3	chr2	127888829	127892732	lncRNA	1057
ENSG00000170632	ARMC10	chr7	103074881	103099759	protein_coding	4575
ENSG00000196878	LAMB3	chr1	209614870	209652425	protein_coding	4647
ENSG00000196177	ACADSB	chr10	123008979	123058290	protein_coding	6234
ENSG00000262117	BCAR4	chr16	11819829	11828845	lncRNA	1328
ENSG00000273485	RP11-225H22.7	chr10	103450196	103450852	lncRNA	657
ENSG00000237553	RP11-140C18.2	chr9	5193339	5193558	processed_pseudogene	220
ENSG00000235521	USP9YP27	chrY	17788315	17789484	unprocessed_pseudogene	438
ENSG00000234985	RP11-3L10.3	chr7	121440834	121441261	processed_pseudogene	428
ENSG00000225514	MTND1P34	chr1	47164510	47165920	transcribed_processed_pseudogene	671
ENSG00000154025	SLC5A10	chr17	18950345	19022595	protein_coding	6451
ENSG00000125533	BHLHE23	chr20	63005927	63007035	protein_coding	1109
ENSG00000288579	RP11-15G6.1	chr5	33367179	33368778	processed_pseudogene	1600
ENSG00000214301	RP11-91K8.4	chr3	133490824	133491505	processed_pseudogene	682
ENSG00000236732	AC094019.4	chr3	32151083	32151895	unprocessed_pseudogene	472
ENSG00000146587	RBAK	chr7	5045821	5069487	protein_coding	6959
ENSG00000235821	IFITM4P	chr6	29750729	29751148	processed_pseudogene	420
ENSG00000115919	KYNU	chr2	142877657	143055833	protein_coding	17442
ENSG00000186676	EEF1GP1	chr7	125033453	125035301	processed_pseudogene	1299
ENSG00000278594	RP11-146E13.5	chr14	19131842	19132890	processed_pseudogene	1049
ENSG00000250202	RP11-397E7.2	chr4	86876338	86876652	processed_pseudogene	315
ENSG00000237396	LNCNEF	chr20	22587522	22607517	lncRNA	659
ENSG00000257941	RP11-290L1.4	chr12	76057538	76058115	processed_pseudogene	578
ENSG00000258336	DUX4L52	chr12	61600067	61600843	processed_pseudogene	777
ENSG00000197061	H4C3	chr6	26103933	26104337	protein_coding	405
ENSG00000219355	RPL31P52	chr12	120450437	120450803	processed_pseudogene	367
ENSG00000267317	CTB-25B13.12	chr19	1457670	1458580	lncRNA	911
ENSG00000227867	ELOCP11	chrY	25991241	25991572	processed_pseudogene	332
ENSG00000254832	OR4A40P	chr11	48512273	48513220	unprocessed_pseudogene	948
ENSG00000112183	RBM24	chr6	17281361	17293871	protein_coding	3425
ENSG00000224863	LINC01398	chr1	46446600	46451317	lncRNA	1764
ENSG00000234099	MTND4P11	chr1	93922574	93923945	unprocessed_pseudogene	1058
ENSG00000172139	SLC9C1	chr3	112140898	112294227	protein_coding	4208
ENSG00000224826	USP21P1	chr2	224169664	224171537	processed_pseudogene	1874
ENSG00000229398	RP4-620E11.5	chr20	41382383	41383107	processed_pseudogene	725
ENSG00000226433	AP000290.7	chr21	33152614	33159110	lncRNA	884
ENSG00000140575	IQGAP1	chr15	90388242	90502239	protein_coding	11507
ENSG00000229957	RP5-998H6.2	chr20	46168404	46171237	lncRNA	2137
ENSG00000170835	CEL	chr9	133061981	133071861	protein_coding	2381
ENSG00000246225	RP11-17A1.3	chr11	22829380	22945393	lncRNA	5339
ENSG00000146409	SLC18B1	chr6	132769370	132813339	protein_coding	2844
ENSG00000224401	RPL7P57	chrX	47840963	47841702	processed_pseudogene	740
ENSG00000229944	EIF4EP2	chr17	49424269	49424922	processed_pseudogene	654
ENSG00000280046	RP11-1099M24.6	chr17	7858943	7866083	TEC	7141
ENSG00000252343	RNU2-34P	chr4	182548659	182548779	snRNA	121
ENSG00000248319	LINC02275	chr4	169917761	169975904	lncRNA	4367
ENSG00000237076	RP5-836J3.1	chr1	83790280	83801465	lncRNA	683
ENSG00000278703	RP11-706P11.2	chr18	57588611	57589091	lncRNA	481
